0.07,0.015,0.005,0.06,0.012,0.004,0.025,0.008,0.002,27.35983943939209
0.07,0.015,0.005,0.06,0.012,0.004,0.025,0.008,0.002,42.79168438911438
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,25.393600940704346
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,23.660937070846558
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,24.88304352760315
0.08,0.017,0.006,0.07,0.014,0.005,0.03,0.009,0.0025,30.525651931762695
0.08,0.017,0.006,0.07,0.014,0.005,0.03,0.009,0.0025,27.688366651535034
0.08,0.017,0.006,0.07,0.014,0.005,0.03,0.009,0.0025,24.94679880142212
0.07,0.015,0.003,0.06,0.012,0.003,0.025,0.008,0.0015,33.920490741729736
0.07,0.015,0.003,0.06,0.012,0.003,0.025,0.008,0.0015,27.147298336029053
0.07,0.015,0.003,0.06,0.012,0.003,0.025,0.008,0.0015,27.009879112243652
0.07,0.02,0.005,0.06,0.018,0.004,0.025,0.01,0.002,25.313546657562256
0.07,0.02,0.005,0.06,0.018,0.004,0.025,0.01,0.002,23.4553120136261
0.07,0.02,0.005,0.06,0.018,0.004,0.025,0.01,0.002,29.914801359176636
0.07,0.01,0.005,0.06,0.008,0.004,0.025,0.005,0.002,23.584430694580078
0.07,0.01,0.005,0.06,0.008,0.004,0.025,0.005,0.002,24.183939218521118
0.07,0.01,0.005,0.06,0.008,0.004,0.025,0.005,0.002,26.278252124786377
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,27.447288513183594
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,24.598668336868286
0.09,0.02,0.01,0.08,0.018,0.008,0.035,0.01,0.004,34.581071615219116
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,21.38250422477722
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,23.985453844070435
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,22.278480291366577
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,26.691965103149414
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,21.484896898269653
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,14.79839539527893
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,34.78091073036194
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,18.82326579093933
0.07,0.015,0.007,0.06,0.012,0.006,0.025,0.008,0.003,17.685925483703613
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,20.370771408081055
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,16.461360454559326
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,16.251839876174927
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,24.260434865951538
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,16.098329544067383
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,26.751985549926758
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,18.341573476791382
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,29.714372396469116
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,36.154114723205566
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,16.040062427520752
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,19.68078899383545
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,15.714932680130005
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,19.706261157989502
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,15.990694522857666
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,22.075441122055054
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,25.793105363845825
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,21.463987350463867
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,26.50101637840271
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,25.32875156402588
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,19.891906261444092
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,35.5496084690094
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,25.945207834243774
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,20.847801446914673
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,33.2288773059845
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,33.28933501243591
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,63.012186765670776
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,27.045169830322266
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,68.57246041297913
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,29.246774196624756
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,24.58035373687744
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,8.96451473236084
0.06,0.013,0.004,0.055,0.011,0.0035,0.022,0.007,0.0018,67.86812734603882
